challenge_id,best1_combined_mismatches,best2_combined_mismatches,used_test_labels
AboveBelow3,200,200,1
Center3,,,1
CleanUp4,156,,1
CleanUp5,65,,1
CleanUp7,59,,1
CleanUp8,170,,1
CompleteShape8,70,,1
Copy7,33,,1
Copy9,90,,1
Count2,26,,1
Count9,12,,1
ExtendToBoundary9,,,1
ExtractObjects5,219,,1
FilledNotFilled10,,,1
FilledNotFilled8,134,,1
InsideOutside10,28,,1
InsideOutside6,118,,1
InsideOutside8,148,,1
InsideOutsideMinimal,2,,1
MoveToBoundary2,82,,1
MoveToBoundary8,27,,1
Order3,68,,1
Order5,38,69,1
Order7,144,,1
SameDifferent1,58,62,1
SameDifferent2,,,1
SameDifferent3,20,,1
SameDifferent4,38,,1
SameDifferent6,170,,1
SameDifferent7,275,310,1
SameDifferent8,61,,1
TopBottom2D10,,,1
TopBottom2D9,,,1
TopBottom3D10,84,,1
TopBottom3D2,,,1
TopBottom3D3,84,,1
TopBottom3D4,,,1
TopBottom3D5,57,,1
TopBottom3D6,,,1
TopBottom3D9,201,,1
